,"u","t","&pi;_W","p","q","V_T"
"424",160000,336,.2e-1,.6e-1,.25,801031.1598
"425",210000,336,.2e-1,.6e-1,.25,961169.7044
"426",260000,336,.2e-1,.6e-1,.25,1094035.804
"427",310000,336,.2e-1,.6e-1,.25,1206382.646
"428",360000,336,.2e-1,.6e-1,.25,1303291.197
"429",410000,336,.2e-1,.6e-1,.25,1388584.279
"430",460000,336,.2e-1,.6e-1,.25,1465138.107
"431",510000,336,.2e-1,.6e-1,.25,1535116.691
"432",560000,336,.2e-1,.6e-1,.25,1600148.190
"433",610000,336,.2e-1,.6e-1,.25,1661457.596
"434",660000,336,.2e-1,.6e-1,.25,1719966.574
"435",710000,336,.2e-1,.6e-1,.25,1776368.564
"436",760000,336,.2e-1,.6e-1,.25,1831185.296
"437",810000,336,.2e-1,.6e-1,.25,1884809.312
"438",860000,336,.2e-1,.6e-1,.25,1937535.951
"439",910000,336,.2e-1,.6e-1,.25,1989587.421
"440",960000,336,.2e-1,.6e-1,.25,2041130.907
"441",10000,336,.2e-1,.6e-1,.50,335268.302
"442",60000,336,.2e-1,.6e-1,.50,1931933.247
"443",110000,336,.2e-1,.6e-1,.50,2705360.708
"444",160000,336,.2e-1,.6e-1,.50,3093532.052
"445",210000,336,.2e-1,.6e-1,.50,3301612.666
"446",260000,336,.2e-1,.6e-1,.50,3425508.580
"447",310000,336,.2e-1,.6e-1,.50,3510051.754
"448",360000,336,.2e-1,.6e-1,.50,3576199.208
"449",410000,336,.2e-1,.6e-1,.50,3633747.450
"450",460000,336,.2e-1,.6e-1,.50,3687275.930
"451",510000,336,.2e-1,.6e-1,.50,3738925.344
"452",560000,336,.2e-1,.6e-1,.50,3789696.374
"453",610000,336,.2e-1,.6e-1,.50,3840056.797
"454",660000,336,.2e-1,.6e-1,.50,3890225.280
"455",710000,336,.2e-1,.6e-1,.50,3940304.038
"456",760000,336,.2e-1,.6e-1,.50,3990340.854
"457",810000,336,.2e-1,.6e-1,.50,4040358.064
"458",860000,336,.2e-1,.6e-1,.50,4090366.109
"459",910000,336,.2e-1,.6e-1,.50,4140369.870
"460",960000,336,.2e-1,.6e-1,.50,4190371.628
"461",10000,336,.2e-1,.6e-1,.75,862936.351
"462",60000,336,.2e-1,.6e-1,.75,4151314.013
"463",110000,336,.2e-1,.6e-1,.75,5120823.978
"464",160000,336,.2e-1,.6e-1,.75,5431646.710
"465",210000,336,.2e-1,.6e-1,.75,5555630.136
"466",260000,336,.2e-1,.6e-1,.75,5626615.835
"467",310000,336,.2e-1,.6e-1,.75,5682568.514
"468",360000,336,.2e-1,.6e-1,.75,5734257.015
"469",410000,336,.2e-1,.6e-1,.75,5784735.965
"470",460000,336,.2e-1,.6e-1,.75,5834871.822
"471",510000,336,.2e-1,.6e-1,.75,5884910.358
"472",560000,336,.2e-1,.6e-1,.75,5934921.289
"473",610000,336,.2e-1,.6e-1,.75,5984924.389
"474",660000,336,.2e-1,.6e-1,.75,6034925.269
"475",710000,336,.2e-1,.6e-1,.75,6084925.518
"476",760000,336,.2e-1,.6e-1,.75,6134925.589
"477",810000,336,.2e-1,.6e-1,.75,6184925.609
"478",860000,336,.2e-1,.6e-1,.75,6234925.615
"479",910000,336,.2e-1,.6e-1,.75,6284925.616
"480",960000,336,.2e-1,.6e-1,.75,6334925.617
"481",10000,336,.3e-1,.6e-1,.25,2178.2471
"482",60000,336,.3e-1,.6e-1,.25,20784.3588
"483",110000,336,.3e-1,.6e-1,.25,41173.8189
"484",160000,336,.3e-1,.6e-1,.25,63203.1739
"485",210000,336,.3e-1,.6e-1,.25,86781.6027
"486",260000,336,.3e-1,.6e-1,.25,111823.3143
"487",310000,336,.3e-1,.6e-1,.25,138247.2690
